filename,true_class,predicted_class,confidence,similarity
Tr-glTr_0000.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0001.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0002.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0003.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0004.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0005.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0006.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0007.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0008.jpg,Glioma,Glioma,100.0,100.0
Tr-glTr_0009.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0010.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0011.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0012.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0013.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0014.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0015.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0016.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0017.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0018.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0019.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0020.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0021.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0022.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0023.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0024.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0025.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0026.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0027.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0028.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0029.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0030.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0031.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0032.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0033.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0034.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0035.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0036.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0037.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0038.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0039.jpg,Glioma,Glioma,99.98,100.0
Tr-gl_0040.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0041.jpg,Glioma,Glioma,99.97,100.0
Tr-gl_0042.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0043.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0044.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0045.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0046.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0047.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0048.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0049.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0050.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0051.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0052.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0053.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0054.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0055.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0056.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0057.jpg,Glioma,Glioma,99.98,100.0
Tr-gl_0058.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0059.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0060.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0061.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0062.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0063.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0064.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0065.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0066.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0067.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0068.jpg,Glioma,Glioma,99.99,100.0
Tr-gl_0069.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0070.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0071.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0072.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0073.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0074.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0075.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0076.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0077.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0078.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0079.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0080.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0081.jpg,Glioma,Glioma,100.0,100.0
Tr-gl_0082.jpg,Glioma,Glioma,100.0,100.0
